,station,latitude,longitude
0,ACME,34.80833,-98.02325
1,ADAX,34.79851,-96.66909
2,ALTU,34.58722,-99.33808
3,ALV2,36.70823,-98.70974
4,ALVA,36.7797,-98.6717
5,ANT2,34.24967,-95.66844
6,ANTL,34.22438,-95.70059
7,APAC,34.91418,-98.29216
8,ARD2,34.19258,-97.08568
9,ARDM,34.1922,-97.085
10,ARNE,36.07204,-99.90308
11,BBOW,34.0144,-94.6131
12,BEAV,36.80253,-100.53012
13,BEEX,34.19121,-96.64386
14,BESS,35.40185,-99.05847
15,BIXB,35.96305,-95.86621
16,BLAC,36.75443,-97.25452
17,BOIS,36.69256,-102.49713
18,BOWL,35.17156,-96.63121
19,BREC,36.41201,-97.69394
20,BRIS,35.7805,-96.35404
21,BROK,34.0433,-94.6244
22,BUFF,36.83129,-99.64101
23,BURB,36.63459,-96.81046
24,BURN,33.89376,-97.26918
25,BUTL,35.5915,-99.27059
26,BYAR,34.8497,-97.0033
27,CALV,34.9924,-96.33422
28,CAMA,36.02866,-99.34652
29,CARL,36.1473,-97.28585
30,CATO,36.2619,-95.7572
31,CENT,34.60896,-96.33309
32,CHAN,35.65282,-96.80407
33,CHER,36.74813,-98.36274
34,CHEY,35.54615,-99.7279
35,CHIC,35.03236,-97.91446
36,CLAR,36.3172,-95.6417
37,CLAY,34.65657,-95.32596
38,CLOU,34.22321,-95.2487
39,CLRM,36.32112,-95.64617
40,COOK,35.68001,-94.84896
41,COPA,36.90987,-95.88553
42,DURA,33.92075,-96.32027
43,ELKC,35.33353,-99.39398
44,ELRE,35.54848,-98.03654
45,ERIC,35.20494,-99.80344
46,EUFA,35.30324,-95.65707
47,EVAX,36.921853,-101.78158
48,FAIR,36.26353,-98.49766
49,FITT,34.55205,-96.71779
50,FORA,36.84053,-96.42777
51,FREE,36.72562,-99.14234
52,FTCB,35.14887,-98.46607
53,GOOD,36.60183,-101.6013
54,GRA2,34.239444,-98.743583
55,GRAN,34.2392,-98.7397
56,GUTH,35.84891,-97.47978
57,HASK,35.74798,-95.64047
58,HECT,35.84162,-96.0024
59,HINT,35.48439,-98.48151
60,HOBA,34.98971,-99.05283
61,HOLD,35.07073,-96.35595
62,HOLL,34.6855,-99.83331
63,HOOK,36.85518,-101.22547
64,HUGO,34.03084,-95.54011
65,IDAB,33.83013,-94.8803
66,INOL,36.14246,-95.45067
67,JAYX,36.4821,-94.78287
68,KENT,36.82937,-102.8782
69,KETC,34.52887,-97.76484
70,KIN2,35.85431,-97.95442
71,KING,35.8805,-97.91121
72,LAHO,36.38435,-98.11139
73,LANE,34.30876,-95.99716
74,MADI,34.03579,-96.94394
75,MANG,34.83592,-99.42398
76,MARE,36.06434,-97.21271
77,MARS,36.1186,-97.6014
78,MAYR,36.98707,-99.01109
79,MCAL,34.88231,-95.78096
80,MEDF,36.79242,-97.74577
81,MEDI,34.72921,-98.56936
82,MIAM,36.88832,-94.84437
83,MINC,35.27225,-97.95553
84,MRSH,36.11685,-97.60685
85,MTHE,34.31072,-94.82275
86,NEWK,36.8981,-96.91035
87,NEWP,34.2281,-97.20142
88,NINN,34.96774,-97.95202
89,NORM,35.2556,-97.4836
90,NOWA,36.74374,-95.60795
91,NRMN,35.23611,-97.46488
92,OILT,36.03126,-96.49749
93,OKCE,35.47226,-97.46414
94,OKCN,35.5556,-97.5107
95,OKCW,35.47112,-97.58245
96,OKEM,35.43172,-96.26265
97,OKMU,35.58211,-95.91473
98,PAUL,34.7155,-97.22924
99,PAWN,36.36114,-96.76986
100,PERK,35.99865,-97.04831
101,PORT,35.8257,-95.55976
102,PRES,35.7247,-95.9886
103,PRYO,36.36914,-95.27138
104,PUTN,35.89904,-98.96038
105,REDR,36.3559,-97.15306
106,RETR,35.12275,-99.36001
107,RING,34.19365,-97.58812
108,SALL,35.43815,-94.79805
109,SEIL,36.19033,-99.0403
110,SEMI,35.1766,-96.70028
111,SHAW,35.36492,-96.94822
112,SKIA,36.4153,-96.03706
113,SLAP,36.59749,-100.26192
114,SPEN,35.54208,-97.34146
115,STIG,35.26527,-95.18116
116,STIL,36.12093,-97.09527
117,STUA,34.87642,-96.06982
118,SULP,34.5661,-96.95048
119,TAHL,35.97235,-94.98671
120,TALA,36.57431,-95.74515
121,TALI,34.7107,-95.01152
122,TIPT,34.43972,-99.13755
123,TISH,34.33262,-96.67895
124,TULL,35.8397,-95.4133
125,TULN,36.19666,-95.93883
126,VALL,33.938606,-95.114913
127,VANO,34.79146,-96.84381
128,VINI,36.77536,-95.22094
129,WAL2,34.39957,-98.34569
130,WALT,34.3647,-98.32025
131,WASH,34.98224,-97.52109
132,WATO,35.84185,-98.52615
133,WAUR,34.16775,-97.98815
134,WEAT,35.5083,-98.77509
135,WEB3,35.515148,-95.149933
136,WEBB,35.47298,-95.13209
137,WEBR,35.489,-95.1233
138,WEST,36.011,-94.64496
139,WILB,34.90092,-95.34805
140,WIST,34.98426,-94.68778
141,WOOD,36.42329,-99.41682
142,WYNO,36.51806,-96.34222
143,YUKO,35.55671,-97.75538
